id,name,latitude,longitude,type,color
209,Kevin DESBOUIS,46.8284259,3.4616097,artist,#3D348B
210,DEYI STUDIO,31.2312707,121.4700152,artist,#3D348B
211,Thea DJORDJADZE,41.6934591,44.8014495,artist,#3D348B
212,Jason DODGE,30.8118989,-93.740504,artist,#3D348B
213,EMILIE BROUT & MAXIME MARION,48.8474508,2.4396714,artist,#3D348B
214,Sylvie FLEURY,46.2017559,6.1466014,artist,#3D348B
215,Michel FRANÇOIS,50.8269478,5.2034249,artist,#3D348B
216,Ryan GANDER,53.1908873,-2.8908955,artist,#3D348B
217,Dora GARCÍA,41.6521328,-4.728562,artist,#3D348B
218,Mark GEFFRIAUD,48.7876,2.39164,artist,#3D348B
219,Liam GILLICK,51.8161412,-0.8130383,artist,#3D348B
220,Rodney GRAHAM,49.0521162,-122.329479,artist,#3D348B
221,Amy GRANAT,38.6280278,-90.1910154,artist,#3D348B
222,Joseph GRIGELY,42.1018764,-72.5886727,artist,#3D348B
223,Diane GUYOT DE SAINT MICHEL,50.5331612,2.1523287,artist,#3D348B
224,Thomas HIRSCHHORN,46.9484742,7.4521749,artist,#3D348B
225,Karl HOLMQVIST,59.3251172,18.0710935,artist,#3D348B
226,IDA TURSIC & WILFRIED MILLE,47.3215806,5.0414701,artist,#3D348B
227,Daniel JACOBY,-12.0621065,-77.0365256,artist,#3D348B
228,Pierre JOSEPH,49.1813403,-0.3635615,artist,#3D348B
229,Véronique JOUMARD,45.1875602,5.7357819,artist,#3D348B
230,"Sister Corita KENT (Frances Elizabeth KENT, dite)",42.5044017,-94.1910044,artist,#3D348B
231,Aglaia KONRAD,47.7981346,13.0464806,artist,#3D348B
232,Susanne KRIEMANN,49.5928616,11.1956,artist,#3D348B
233,Gabriel KURI,19.4326296,-99.1331785,artist,#3D348B
234,Bo Christian LARSSON,59.3113619,14.11176,artist,#3D348B
235,Seulgi LEE,37.5666791,126.9782914,artist,#3D348B
236,Pierre LEGUILLON,48.8387639,2.4916592,artist,#3D348B
237,Jochen LEMPERT,51.451283,6.62843,artist,#3D348B
238,Mark LUYTEN,51.2211097,4.3997081,artist,#3D348B
239,Jonathan MARTIN,48.8795658,2.415796,artist,#3D348B
240,Matali CRASSET,48.9566218,4.3628851,artist,#3D348B
241,MATTEO TERZAGHI & MARCO ZÜRCHER,46.0050102,8.9520281,artist,#3D348B
242,Mathieu MERCIER,48.9938791,2.0949768,artist,#3D348B
