artist_id,artwork_id,title,date,domaine,medium,type,picture_path
63,1000,"Le livre de la Ligne bleue, avril 1985",avril 1985,"Publication, livre, imprimé","Publication, livre, imprimé
Cahier de [56 pages]
Impression offset noir et blanc et couleur",ouvrage,images/1000.jpg
63,1001,Périodique Gratuit,1994 - 1995,"Publication, livre, imprimé, Périodique","Numéro original de ""Gratuit"" sur le Frac Bretagne",ouvrage,images/1001.jpg
64,1002,Livre You Have Within You Something Stronger and More Numinous,2021,"Publication, livre, imprimé, Livre",,ouvrage,images/1002.jpg
65,1003,Livre The Book of Shapes,2010,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
2 volumes de [632 pages et 360 pages] reliées. Couverture cuir pleine fleur brun, lettrage gauffré or sur le plat et sur la tranche.
Imprimé sur papier Phoenixmotion Xanture 150g",ouvrage,images/1003.jpg
66,1004,Livre Bagne de Brest,1981 - 1982,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Livre manuscrit comprenant 22 feuillets
Papier goudron maculé et techniques mixtes",ouvrage,images/1004.jpg
67,1005,"Hello World, Bonjour Bazaar",2012,"Publication, livre, imprimé","Publication, livre, imprimé
160 pages
Impression offset quadri sur papier popset couché mat",ouvrage,images/1005.jpg
67,1006,"L'image-Objet post-internet, une version",2014,"Publication, livre, imprimé","Publication, livre, imprimé
6 pages
Impression laser noir et blanc sur papier machine 90gr",ouvrage,images/1006.jpg
67,1007,Caché-e,2016 - 2018,"Publication, livre, imprimé","Publication, livre, imprimé
40 pages
Impression offset numérique sur papier popset 90gr
Couverture offset numérique sur papier couché satiné et bandeau jaune popset tournesol non-couché 160gr",ouvrage,images/1007.jpg
67,1008,Ghost,2017,"Publication, livre, imprimé","Publication, livre, imprimé
26 pages + 1 insert : ephemera ""Void"", 2017.
Impression en risographie, noir et or sur papier bible 50 gr, découpe laser sur couverture noir French Paper 450 gr.
Ephemera : impression risographie noire sur papier millimètré bleu.",ouvrage,images/1008.jpg
67,1009,Woman Reaking Book,2018,"Publication, livre, imprimé","Publication, livre, imprimé
10 pages
Impression offset numérique sur papier journal 90gr",ouvrage,images/1009.jpg
67,1010,Woman Reading Book,2019,"Publication, livre, imprimé","Publication, livre, imprimé
8 pages
Impression offset numérique sur papier journal 90gr",ouvrage,images/1010.jpg
67,1011,Woman Reading Book,2019,"Publication, livre, imprimé","Publication, livre, imprimé
8 pages
Impression offset numérique sur papier journal 90gr",ouvrage,images/1011.jpg
67,1012,Woman Reading Book,2020,"Publication, livre, imprimé","Publication, livre, imprimé
10 pages
Impression offset numérique sur papier journal 90gr",ouvrage,images/1012.jpg
67,1013,Woman Reading Book,2020,"Publication, livre, imprimé","Publication, livre, imprimé
12 pages
Impression offset numérique sur papier journal 90gr",ouvrage,images/1013.jpg
